hero,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy: Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,total_screen_time,Movies,freq,cat
Loki,0,0,0,1275,0,1290,0,1050,0,0,0,0,0,0,0,0,810,0,225,0,0,60,0,4710,6,1,1
Mantis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,345,0,0,45,0,1050,3,1,0
M'Baku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,60,0,0,15,0,420,3,2,0
Nakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,1005,1,1,0
Nebula,0,0,0,0,0,0,0,0,0,270,0,0,0,0,630,0,0,0,195,0,0,960,0,2055,4,1,0
Nick Fury,15,0,330,45,30,1095,0,0,930,0,180,0,0,0,0,0,0,0,60,0,1350,15,555,4605,,,
Odin,0,0,0,675,0,0,0,540,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,1440,3,1,0
Okoye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,165,0,0,105,0,1035,3,3,0
Peggy Carter,0,0,0,0,1035,0,0,0,135,0,15,45,0,0,0,0,0,0,0,0,0,60,0,1290,,,
Pepper Potts,1395,0,1050,0,0,270,1080,0,0,0,0,0,0,0,0,45,0,0,90,0,0,255,0,4185,,,
Quicksilver,0,0,0,0,0,0,0,0,15,0,600,0,0,0,0,0,0,0,0,0,0,0,0,615,,,
Red Skull,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,1,3,0
Rocket Raccoon,0,0,0,0,0,0,0,0,0,1170,0,0,0,0,1185,0,0,0,375,0,0,495,0,3225,4,1,1
Scarlet Witch,0,0,0,0,0,0,0,0,15,0,720,0,645,0,0,0,0,0,540,0,0,135,0,2055,,,
Sharon Carter,0,0,0,0,0,0,0,0,150,0,0,0,300,0,0,0,0,0,0,0,0,0,0,450,,,
Shuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,45,0,0,75,0,990,3,3,0
Spider-Man,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,4575,0,0,435,0,0,180,4050,9750,,,
Star-Lord,0,0,0,0,0,0,0,0,0,2805,0,0,0,0,2145,0,0,0,615,0,0,180,0,5745,4,1,1
Thanos,0,0,0,0,0,15,0,0,0,60,15,0,0,0,0,0,0,0,1860,0,0,735,0,2685,5,1,1
The Ancient One,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,210,0,1245,2,2,0
Thor,0,0,0,2595,0,1080,0,2100,0,0,795,0,0,45,0,0,3525,0,915,0,0,1275,0,12330,8,1,1
Valkyrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,135,0,990,2,3,0
Vision,0,0,0,0,0,0,0,0,0,0,375,0,435,0,0,0,0,0,600,0,0,0,0,1410,3,1,0
Vulture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,1140,1,1,0
War Machine,495,0,1125,0,0,0,585,0,0,0,150,0,435,0,0,0,0,0,165,0,15,555,0,3525,,,
Wasp,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,0,0,2100,0,75,0,3120,,,
Winter Soldier,0,0,0,0,480,0,0,0,795,0,0,15,1320,0,0,0,0,45,120,0,0,135,0,2910,,,
Wong,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,210,0,0,45,0,675,3,1,0
